SACC code,Country of birth,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Territory
9206,Eritrea,150,200,170,170,210,270,200,330,180,310,430,440,350,410,340,500,40,170,310,Australia
9207,Ethiopia,650,530,690,590,870,880,780,1000,640,920,960,910,970,760,760,830,270,630,740,Australia
9208,Kenya,1250,1250,1380,1210,1320,1210,890,960,1070,1170,1390,1560,2150,1710,1730,1370,270,2110,4820,Australia
9211,Lesotho,20,10,10,20,10,10,10,20,10,20,10,0,10,10,10,10,0,10,10,Australia
9212,Madagascar,20,20,20,20,20,20,20,10,20,10,10,30,20,30,40,30,10,10,30,Australia
9213,Malawi,100,70,90,100,100,70,100,130,110,110,70,100,80,70,180,80,20,110,90,Australia
9214,Mauritius,730,1030,1350,2590,3030,1020,620,750,800,810,860,910,870,730,880,760,80,720,1020,Australia
9215,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Australia
9216,Mozambique,60,80,70,80,80,60,60,80,60,60,50,40,50,50,60,50,10,30,70,Australia
9217,Namibia,80,100,90,120,140,80,100,90,100,60,60,80,80,70,90,100,30,80,170,Australia
9218,Reunion,10,30,30,40,40,20,30,30,30,20,20,30,40,20,40,20,0,20,20,Australia
9221,Rwanda,50,80,100,60,90,150,100,90,70,80,80,70,60,60,110,60,10,50,60,Australia
9222,St Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
9223,Seychelles,140,110,110,130,60,70,70,60,50,60,40,40,50,20,40,30,20,30,30,Australia
9224,Somalia,430,460,550,390,570,760,620,640,590,760,630,730,430,360,330,250,200,320,370,Australia
9225,South Africa,7400,9470,10350,13070,14960,8280,8550,9230,7730,6240,5920,6440,7840,6930,8070,7890,3780,6750,10590,Australia
9226,Eswatini,20,20,20,30,30,20,30,30,20,20,10,10,10,30,10,20,10,10,10,Australia
9227,Tanzania,260,490,450,380,300,220,220,190,190,150,180,150,210,140,340,230,50,110,150,Australia
9228,Uganda,250,220,360,210,210,240,240,180,200,220,250,240,240,260,230,250,50,220,310,Australia
