SACC code,Country of birth,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Territory
8422,St Kitts/Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8423,St Lucia,0,0,0,0,0,0,10,0,0,10,10,0,10,0,0,0,0,0,0,Australia
8424,St Vinc/Grenad,0,0,0,10,10,10,0,0,0,0,0,10,10,0,0,0,0,0,0,Australia
8425,Trinidad/Tobago,30,20,30,40,40,30,30,40,50,40,50,70,50,30,40,20,20,20,20,Australia
8426,Turks/Caicos Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8427,"Virgin Is, Brit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8428,"Virgin Is, US",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,Australia
8431,St Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8432,St Martin (Fr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8433,Bonaire/SE/Saba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8434,Curacao,0,0,0,0,0,0,0,0,10,0,0,0,10,10,10,10,0,0,0,Australia
8435,Sint Maarten Dp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
9101,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,Australia
9102,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
9103,Cameroon,10,10,10,10,10,10,10,10,20,20,30,30,20,30,10,20,10,10,20,Australia
9104,Cabo Verde,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,Australia
9105,Cent Africa Rep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
9106,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
9107,"Congo, Rep",10,10,20,10,10,20,10,10,10,20,10,20,20,10,20,30,20,20,20,Australia
